ts_utc,station_code,location_code,naam,fietsen,open,lat,lng,gebied
2026-09-24T07:51:26Z,NM,nm001,Nijmegen,115,Yes,51.842825,5.853375,Nijmegen
2026-09-24T07:51:26Z,GVC,gvc021,Den Haag Centraal KJ Plein,2,Yes,52.08129,4.323001,Den Haag Centraal
2026-09-24T07:51:26Z,ASD,asd008,Amsterdam Centraal  IJzijde West,62,Yes,52.380095,4.898784,Amsterdam Centraal
2026-09-24T07:51:26Z,ASS,ass001,Amsterdam Sloterdijk,2,Yes,52.38903,4.83707,Amsterdam Sloterdijk
2026-09-24T07:51:26Z,EHV,ehv002,Eindhoven Centraal zuid (centrum),1,Yes,51.442199,5.480273,Eindhoven Centraal
2026-09-24T07:51:26Z,AMF,amf001,Amersfoort Centraal,1,Yes,52.15293,5.37481,Amersfoort Centraal
2026-09-24T07:51:26Z,AMF,amf002,Amersfoort Mondriaanplein,6,Yes,52.15446,5.37339,Amersfoort Centraal
2026-09-24T07:51:26Z,HT,ht001,s-Hertogenbosch,11,Yes,51.690526,5.295283,Regio Den Bosch
2026-09-24T07:51:26Z,ASDZ,asdz003,Amsterdam Zuid Mahlerplein,0,Yes,52.336448,4.873438,Amsterdam Zuid
2026-09-24T07:51:26Z,ASDZ,asdz001,Amsterdam Zuid Zuidplein,2,Yes,52.340294,4.873381,Amsterdam Zuid
2026-09-24T07:51:26Z,TB,tb002,Tilburg Noord,14,Yes,51.56099,5.086718,Tilburg
2026-09-24T07:51:26Z,TB,tb003,Tilburg Zuid,53,Yes,51.5602,5.086418,Tilburg
2026-09-24T07:51:26Z,O,o002,Oss,2,Yes,51.76537,5.53079,Regio Den Bosch
2026-09-24T07:51:26Z,ZBM,zbm002,Zaltbommel,4,Yes,51.80812,5.26288,Regio Den Bosch
2026-09-24T07:51:26Z,TL,tl003,Tiel,8,Yes,51.88973,5.42399,Regio Den Bosch
2026-09-24T07:51:26Z,ASD,asd010,Amsterdam Centraal Stationsplein,137,Yes,52.378482,4.897678,Amsterdam Centraal
2026-09-24T07:51:26Z,BSD,bsd001,Beesd,3,Yes,51.899378,5.195893,Regio Den Bosch
2026-09-24T07:51:26Z,GDM,gdm001,Geldermalsen,0,Yes,51.881767,5.270973,Regio Den Bosch
2026-09-24T07:51:26Z,HTO,Hto001,'s-Hertogenbosch Oost,2,Yes,51.700711,5.318865,Regio Den Bosch
2026-09-24T07:51:26Z,LEDN,ledn001,"Leiden Centraal,Uitgang LUMC",2,Yes,52.165578,4.48155,Leiden Centraal
2026-09-24T07:51:26Z,BSLC,Ow002,Uden,7,Yes,51.660336,5.617622,Regio Den Bosch
2026-09-24T07:51:26Z,OW,ow001,Oss West,7,Yes,51.758646,5.507076,Regio Den Bosch
2026-09-24T07:51:26Z,RS,rs001,Rosmalen,1,Yes,51.715439,5.369477,Regio Den Bosch
2026-09-24T07:51:26Z,RTD,rtd001,Rotterdam Centraal,134,Yes,51.923421,4.469738,Rotterdam Centraal
2026-09-24T07:51:26Z,SHL,shl001,Schiphol,5,Yes,52.309265,4.759774,Schiphol Airport
